Summary,Issue Type,Priority,Story Points,Epic Link,Description,Labels
"[FE-00] Cliente HTTP centralizado lib/api.ts con interceptor JWT",Task,Highest,2,Configuración e Integración,"Crear cliente fetch/axios centralizado que inyecte el Authorization header desde la cookie segura en cada petición.",frontend,setup,mvp
"[FE-01] Context / Zustand store de autenticación useAuth",Task,Highest,2,Configuración e Integración,"Store global con estado user, token, login(), logout() y selector de rol. Persistir sesión en cookie httpOnly vía API route.",frontend,setup,mvp,auth
"[FE-02] Middleware Next.js para protección de rutas privadas",Task,Highest,1,Configuración e Integración,"Middleware que redirige a /auth/login si no hay token válido, y redirige al dashboard del rol correspondiente si ya está autenticado.",frontend,setup,mvp,auth
"[FE-03] Componentes base reutilizables",Task,Highest,2,Configuración e Integración,"Crear Button, Input, Card, Badge y Spinner con Tailwind. Aplicar variantes (primary, secondary, danger) y estado loading.",frontend,setup,mvp,design-system
"[FE-10] Página /auth/register — formulario de registro",Story,Highest,3,HU-01 Registro e Inicio de Sesión,"Formulario con campos fullName, email, password. Validación con react-hook-form + zod. Mostrar errores inline. Conectar con POST /auth/register.",frontend,auth,mvp
"[FE-11] Página /auth/login — formulario de inicio de sesión",Story,Highest,2,HU-01 Registro e Inicio de Sesión,"Formulario email + password. Validación client-side. Conectar con POST /auth/login.",frontend,auth,mvp
"[FE-12] Almacenamiento seguro del JWT",Task,Highest,2,HU-01 Registro e Inicio de Sesión,"API route Next.js /api/auth/session que escribe el token en cookie httpOnly. El cliente nunca toca localStorage.",frontend,auth,mvp,security
"[FE-13] Redirección post-login según rol",Task,Highest,1,HU-01 Registro e Inicio de Sesión,"CITIZEN → /recoleccion, DRIVER → /conductor/dashboard, ADMIN → /admin/usuarios.",frontend,auth,mvp
"[FE-14] Botón de cerrar sesión con limpieza de token",Task,Highest,1,HU-01 Registro e Inicio de Sesión,"Llamar a DELETE /api/auth/session para borrar la cookie y limpiar el store. Redirigir a /auth/login.",frontend,auth,mvp
"[FE-15] Página /perfil — vista del perfil del usuario autenticado",Story,Medium,2,HU-01 Registro e Inicio de Sesión,"Mostrar fullName, email y rol del usuario. Datos obtenidos de GET /auth/me.",frontend,auth,mvp
"[FE-20] Página /recoleccion — selector de zona y listado de horarios",Story,Highest,3,HU-02 Consultar Horarios y Puntos,"Selector de zona (GET /zones) y tabla de horarios resultante (GET /schedules?zoneId=). Estado de carga y vacío.",frontend,schedules,mvp
"[FE-21] Componente ScheduleCard",Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Muestra día de la semana, horario de inicio/fin, nombre del tipo de residuo y badge de categoría.",frontend,schedules,mvp
"[FE-22] Página /puntos-recojo — lista de puntos con dirección",Story,Highest,2,HU-02 Consultar Horarios y Puntos,"Filtrar puntos por zona seleccionada. Mostrar lista con nombre y dirección. Conectar con GET /pickup-points?zoneId=.",frontend,pickup-points,mvp
"[FE-23] Componente PickupPointCard",Task,Highest,1,HU-02 Consultar Horarios y Puntos,"Tarjeta con nombre, dirección y zona del punto de recojo.",frontend,pickup-points,mvp
"[FE-24] Integración GET /schedules y GET /pickup-points",Task,Highest,1,HU-02 Consultar Horarios y Puntos,"Funciones de fetching tipadas en lib/api.ts para ambos endpoints.",frontend,schedules,pickup-points,mvp
"[FE-25] Página /residuos — catálogo de tipos de residuos",Story,Highest,2,HU-Consultar Tipo de Residuos,"Listar todos los tipos de residuos agrupados por categoría (ORGANIC, RECYCLABLE, NON_RECYCLABLE). Conectar con GET /waste-types.",frontend,waste-types,mvp
"[FE-26] Componente WasteTypeCard",Task,Highest,2,HU-Consultar Tipo de Residuos,"Tarjeta con ícono de categoría (color codificado), nombre y descripción del residuo.",frontend,waste-types,mvp
