Summary,Issue Type,Priority,Story Points,Epic Link,Description,Labels
[BE-00] Scaffolding NestJS + Prisma + libSQL adapter Turso,Task,Highest,3,Configuracion Inicial,Inicializar proyecto NestJS con Prisma ORM y el adapter libsql para conectar con Turso DB.,"backend,setup,mvp"
[BE-01] Variables de entorno y configuracion de conexion Turso,Task,Highest,1,Configuracion Inicial,Configurar archivo .env con DATABASE_URL de Turso y variables JWT.,"backend,setup,mvp"
[BE-02] Guard JWT global y estrategia Passport,Task,Highest,2,Configuracion Inicial,Implementar JwtStrategy con Passport y JwtAuthGuard global.,"backend,setup,mvp,auth"
[BE-03] Pipe global de validacion y filtro de excepciones,Task,Highest,1,Configuracion Inicial,Registrar ValidationPipe global con class-validator y AllExceptionsFilter.,"backend,setup,mvp"
[BE-10] Modulo AuthModule con endpoint POST /auth/register,Story,Highest,3,HU-01 Registro e Inicio de Sesion,Crear AuthModule con endpoint POST /auth/register. Crea usuario con rol CITIZEN.,"backend,auth,mvp"
[BE-11] Endpoint POST /auth/login devuelve JWT,Story,Highest,2,HU-01 Registro e Inicio de Sesion,Validar credenciales y devolver access token JWT firmado.,"backend,auth,mvp"
[BE-12] Modulo UsersModule con modelo User en Prisma,Task,Highest,2,HU-01 Registro e Inicio de Sesion,"Definir modelo User con id, email, passwordHash, fullName, role, status, createdAt.","backend,users,mvp"
[BE-13] Hash de contrasena con bcrypt,Task,Highest,1,HU-01 Registro e Inicio de Sesion,Hasheo con bcrypt salt rounds 10 al registrar y comparacion al login.,"backend,auth,mvp,security"
[BE-14] DTO RegisterDto y LoginDto con validaciones,Task,Highest,1,HU-01 Registro e Inicio de Sesion,RegisterDto con email IsEmail y password MinLength 8. LoginDto con class-validator.,"backend,auth,mvp"
[BE-15] Endpoint GET /auth/me perfil del usuario autenticado,Story,High,1,HU-01 Registro e Inicio de Sesion,Endpoint protegido que devuelve datos del usuario desde el JWT sin passwordHash.,"backend,auth,mvp"
[BE-20] Modulo ZonesModule con modelo Zone,Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Crear ZonesModule y modelo Zone con id, name, description, status, createdAt.","backend,zones,mvp"
[BE-21] Endpoint GET /zones lista zonas activas,Story,Highest,1,HU-02 Consultar Horarios y Puntos,Devolver listado de zonas con status ACTIVE. Ruta publica.,"backend,zones,mvp"
[BE-22] Modulo SchedulesModule con modelo CollectionSchedule,Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Definir modelo CollectionSchedule con zoneId, wasteTypeId, dayOfWeek, startTime, endTime.","backend,schedules,mvp"
[BE-23] Endpoint GET /schedules por zona,Story,Highest,2,HU-02 Consultar Horarios y Puntos,Devolver horarios filtrados por zoneId. Incluir nombre y categoria del tipo de residuo.,"backend,schedules,mvp"
[BE-24] Modulo PickupPointsModule con modelo PickupPoint,Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Definir modelo PickupPoint con zoneId, name, address, latitude, longitude, status.","backend,pickup-points,mvp"
[BE-25] Endpoint GET /pickup-points puntos de recojo por zona,Story,Highest,1,HU-02 Consultar Horarios y Puntos,Devolver puntos de recojo activos filtrados por zoneId.,"backend,pickup-points,mvp"
[BE-30] Modulo IncidentsModule con modelo Incident,Task,Highest,2,HU-06 Reportar Incidencia,"Definir modelo Incident con reportedBy, zoneId, routeId nullable, type, description, status, createdAt.","backend,incidents,mvp"
[BE-31] Endpoint POST /incidents crear incidencia,Story,Highest,2,HU-06 Reportar Incidencia,Ruta protegida para cualquier rol. Registra incidencia con userId del JWT.,"backend,incidents,mvp"
[BE-32] Endpoint GET /incidents/my incidencias del ciudadano,Story,Medium,1,HU-06 Reportar Incidencia,Devolver incidencias creadas por el usuario autenticado ordenadas por fecha.,"backend,incidents,mvp"
[BE-33] DTO CreateIncidentDto con validaciones,Task,Highest,1,HU-06 Reportar Incidencia,"Campos: type IsEnum, description MinLength 10, zoneId opcional.","backend,incidents,mvp"
[BE-40] Rol DRIVER en modelo User y guard de roles,Task,Highest,1,HU-Conductor Gestionar Ruta,Crear decorador Roles() y RolesGuard para proteger rutas por rol.,"backend,auth,mvp,roles"
[BE-41] Modulo RoutesModule con modelos Route y RouteStop,Task,Highest,3,HU-Conductor Gestionar Ruta,"Definir Route con zoneId, driverId, status, startedAt, finishedAt y RouteStop con routeId, pickupPointId, orderIndex, status.","backend,routes,mvp"
[BE-42] Endpoint GET /routes/my ruta asignada al conductor,Story,Highest,2,HU-Conductor Gestionar Ruta,Devolver ruta activa del conductor con sus paradas y puntos de recojo.,"backend,routes,mvp"
[BE-43] Endpoint PATCH /routes/:id/start iniciar ruta,Story,Highest,1,HU-Conductor Gestionar Ruta,Cambiar status de PENDING a IN_PROGRESS y registrar startedAt.,"backend,routes,mvp"
[BE-44] Modulo CollectionsModule con modelo Collection,Task,Highest,2,HU-Conductor Registrar Recoleccion,"Definir modelo Collection con routeStopId unique, wasteTypeId, collectedAt, notes.","backend,collections,mvp"
[BE-45] Endpoint POST /collections confirmar punto atendido,Story,Highest,2,HU-Conductor Registrar Recoleccion,Registrar recoleccion y actualizar RouteStop a COMPLETED. Validar que conductor es dueno de la ruta.,"backend,collections,mvp"
[BE-46] Endpoint POST /incidents para conductor en ruta,Story,Highest,1,HU-Conductor Comunicar Incidencias,Reutilizar POST /incidents incluyendo routeId en el body para vincular incidencia a la ruta.,"backend,incidents,mvp"
[BE-50] Guard ADMIN en rutas protegidas de administrador,Task,Highest,1,HU-Admin Gestionar Sistema,Aplicar RolesGuard con rol ADMIN a todos los endpoints del modulo admin.,"backend,auth,mvp,roles"
[BE-51] Endpoint GET /users listar usuarios,Story,Highest,1,HU-Admin Gestionar Sistema,Listar todos los usuarios con paginacion basica. Excluir passwordHash.,"backend,users,mvp,admin"
[BE-52] Endpoint PATCH /users/:id actualizar usuario,Story,Medium,1,HU-Admin Gestionar Sistema,"Actualizar fullName, role o status de un usuario.","backend,users,mvp,admin"
[BE-53] Endpoint DELETE /users/:id desactivar usuario,Story,Medium,1,HU-Admin Gestionar Sistema,Soft delete: cambiar status a INACTIVE sin eliminar el registro.,"backend,users,mvp,admin"
[BE-54] Endpoints CRUD de zonas para admin,Story,Highest,2,HU-Admin Gestionar Sistema,"Crear, editar y desactivar zonas via POST, PATCH y DELETE /zones.","backend,zones,mvp,admin"
[BE-55] Modulo WasteTypesModule con modelo WasteType,Task,Highest,2,HU-Admin Gestionar Residuos,"Definir modelo WasteType con name, category ORGANIC RECYCLABLE NON_RECYCLABLE, description.","backend,waste-types,mvp"
[BE-56] Endpoints GET y POST /waste-types,Story,Highest,2,HU-Admin Gestionar Residuos,GET publico para listar residuos. POST protegido para crear solo ADMIN.,"backend,waste-types,mvp,admin"
[BE-57] Endpoint PATCH /waste-types/:id clasificar residuo,Story,Highest,1,HU-Admin Gestionar Residuos,Actualizar la clasificacion de un tipo de residuo existente.,"backend,waste-types,mvp,admin"
[BE-58] Endpoint POST /routes asignar ruta a conductor,Story,Highest,2,HU-Admin Gestionar Operaciones,"Crear ruta asignando driverId, zoneId y paradas ordenadas.","backend,routes,mvp,admin"
[BE-59] Endpoint GET /routes ver estado de todas las rutas,Story,Highest,1,HU-Admin Gestionar Operaciones,Listar rutas con filtro opcional por status. Incluir conductor y zona.,"backend,routes,mvp,admin"
[FE-00] Cliente HTTP centralizado con interceptor JWT,Task,Highest,2,Configuracion e Integracion,Crear cliente fetch centralizado que inyecte el header Authorization en cada peticion.,"frontend,setup,mvp"
[FE-01] Store de autenticacion con Zustand,Task,Highest,2,Configuracion e Integracion,"Store global con user, token, login() y logout(). Persistir sesion en cookie httpOnly via API route.","frontend,setup,mvp,auth"
[FE-02] Middleware Next.js para proteccion de rutas privadas,Task,Highest,1,Configuracion e Integracion,Redirigir a /auth/login si no hay token valido y al dashboard del rol si ya esta autenticado.,"frontend,setup,mvp,auth"
[FE-03] Componentes base reutilizables Button Input Card Badge Spinner,Task,Highest,2,Configuracion e Integracion,Crear componentes base con Tailwind con variantes primary secondary danger y estado loading.,"frontend,setup,mvp,design-system"
[FE-10] Pagina /auth/register formulario de registro,Story,Highest,3,HU-01 Registro e Inicio de Sesion,"Formulario con fullName, email y password. Validacion con react-hook-form y zod. Conectar con POST /auth/register.","frontend,auth,mvp"
[FE-11] Pagina /auth/login formulario de inicio de sesion,Story,Highest,2,HU-01 Registro e Inicio de Sesion,Formulario email y password con validacion client-side. Conectar con POST /auth/login.,"frontend,auth,mvp"
[FE-12] Almacenamiento seguro del JWT en cookie httpOnly,Task,Highest,2,HU-01 Registro e Inicio de Sesion,API route Next.js que escribe el token en cookie httpOnly. El cliente nunca usa localStorage.,"frontend,auth,mvp,security"
[FE-13] Redireccion post-login segun rol del usuario,Task,Highest,1,HU-01 Registro e Inicio de Sesion,"CITIZEN a /recoleccion, DRIVER a /conductor/dashboard, ADMIN a /admin/usuarios.","frontend,auth,mvp"
[FE-14] Boton de cerrar sesion con limpieza de token,Task,Highest,1,HU-01 Registro e Inicio de Sesion,Borrar cookie y limpiar store. Redirigir a /auth/login.,"frontend,auth,mvp"
[FE-15] Pagina /perfil vista del usuario autenticado,Story,Medium,2,HU-01 Registro e Inicio de Sesion,"Mostrar fullName, email y rol. Datos obtenidos de GET /auth/me.","frontend,auth,mvp"
[FE-20] Pagina /recoleccion selector de zona y horarios,Story,Highest,3,HU-02 Consultar Horarios y Puntos,Selector de zona y tabla de horarios resultante. Conectar con GET /zones y GET /schedules.,"frontend,schedules,mvp"
[FE-21] Componente ScheduleCard,Task,Highest,2,HU-02 Consultar Horarios y Puntos,"Muestra dia, horario de inicio y fin, nombre del residuo y badge de categoria.","frontend,schedules,mvp"
[FE-22] Pagina /puntos-recojo lista de puntos con direccion,Story,Highest,2,HU-02 Consultar Horarios y Puntos,Filtrar puntos por zona. Conectar con GET /pickup-points.,"frontend,pickup-points,mvp"
[FE-23] Componente PickupPointCard,Task,Highest,1,HU-02 Consultar Horarios y Puntos,"Tarjeta con nombre, direccion y zona del punto de recojo.","frontend,pickup-points,mvp"
[FE-24] Integracion GET /schedules y GET /pickup-points,Task,Highest,1,HU-02 Consultar Horarios y Puntos,Funciones de fetching tipadas en lib/api.ts para ambos endpoints.,"frontend,schedules,mvp"
[FE-25] Pagina /residuos catalogo de tipos de residuos,Story,Highest,2,HU-Consultar Tipo de Residuos,Listar residuos agrupados por categoria. Conectar con GET /waste-types.,"frontend,waste-types,mvp"
[FE-26] Componente WasteTypeCard,Task,Highest,2,HU-Consultar Tipo de Residuos,"Tarjeta con icono de categoria codificado por color, nombre y descripcion del residuo.","frontend,waste-types,mvp"
[FE-27] Integracion GET /waste-types,Task,Highest,1,HU-Consultar Tipo de Residuos,Funcion tipada en lib/api.ts para obtener el catalogo de residuos.,"frontend,waste-types,mvp"
[FE-30] Pagina /incidencias/nueva formulario de reporte,Story,Highest,3,HU-06 Reportar Incidencia,"Formulario con selector de tipo, zona y descripcion. Conectar con POST /incidents.","frontend,incidents,mvp"
[FE-31] Pagina /incidencias listado de incidencias propias,Story,Medium,2,HU-06 Reportar Incidencia,Listar incidencias del ciudadano autenticado. Conectar con GET /incidents/my.,"frontend,incidents,mvp"
[FE-32] Componente IncidentCard,Task,Medium,1,HU-06 Reportar Incidencia,"Muestra tipo, descripcion truncada, fecha y badge de status OPEN IN_REVIEW RESOLVED.","frontend,incidents,mvp"
[FE-33] Integracion POST /incidents y GET /incidents/my,Task,Highest,1,HU-06 Reportar Incidencia,Funciones tipadas en lib/api.ts para crear y listar incidencias.,"frontend,incidents,mvp"
[FE-40] Pagina /conductor/dashboard resumen de ruta del dia,Story,Highest,2,Panel Conductor,"Mostrar estado de ruta, zona asignada y conteo de paradas atendidas vs total.","frontend,conductor,mvp"
[FE-41] Pagina /conductor/ruta lista de paradas con estado,Story,Highest,3,Panel Conductor,Listado ordenado de RouteStops con nombre del punto y estado. Conectar con GET /routes/my.,"frontend,conductor,mvp"
[FE-42] Componente RouteStopItem,Task,Highest,2,Panel Conductor,Item de parada con badge de estado y boton Confirmar visible solo si PENDING.,"frontend,conductor,mvp"
[FE-43] Boton Iniciar ruta conectado a PATCH /routes/:id/start,Story,Highest,1,Panel Conductor,Boton visible cuando status es PENDING. Actualiza store local tras confirmar.,"frontend,conductor,mvp"
[FE-44] Modal Registrar recoleccion con selector de residuo,Story,Highest,3,Panel Conductor,Modal con selector de wasteTypeId y campo de notas. Conectar con POST /collections.,"frontend,conductor,mvp"
[FE-45] Formulario Reportar problema en ruta,Story,Highest,2,Panel Conductor,Formulario de incidencia con routeId precargado. Conectar con POST /incidents.,"frontend,conductor,mvp,incidents"
[FE-46] Integracion GET /routes/my ruta activa del conductor,Task,Highest,1,Panel Conductor,Funcion tipada en lib/api.ts para obtener la ruta activa con sus paradas.,"frontend,conductor,mvp"
[FE-50] Pagina /admin/usuarios tabla de usuarios,Story,Highest,3,Panel Administrador,"Tabla paginada con nombre, email, rol y estado. Acciones editar y desactivar. Conectar con GET PATCH DELETE /users.","frontend,admin,mvp"
[FE-51] Pagina /admin/zonas CRUD de zonas,Story,Highest,3,Panel Administrador,Lista con modal para crear y editar. Boton desactivar. Conectar con GET POST PATCH DELETE /zones.,"frontend,admin,mvp"
[FE-52] Pagina /admin/residuos catalogo con formulario,Story,Highest,2,Panel Administrador,Listar residuos con categoria. Modal para registrar nuevo tipo. Conectar con GET POST /waste-types.,"frontend,admin,mvp"
[FE-53] Pagina /admin/rutas asignar ruta a conductor,Story,Highest,3,Panel Administrador,"Formulario para crear ruta con zona, conductor y paradas ordenadas. Conectar con GET POST /routes.","frontend,admin,mvp"
[FE-54] Componente StatusBadge reutilizable,Task,Highest,1,Panel Administrador,Badge con variantes de color segun status ACTIVE PENDING IN_PROGRESS COMPLETED INACTIVE CANCELLED.,"frontend,admin,mvp,design-system"
[FE-55] Integracion endpoints admin,Task,Highest,2,Panel Administrador,Funciones tipadas en lib/api.ts para /users /zones /waste-types y /routes con GET POST PATCH DELETE.,"frontend,admin,mvp"
